subject,condition,lag_ms,alpha_x,r,p-value
36,memory,-700,0.001,0.03409331105591026,9.37358726229149e-22
36,control,-700,0.001,-0.0017575637521467999,0.710443583066494
38,memory,700,0.000729,-0.017974154537008624,3.4063818502974477e-09
38,control,700,0.000729,-0.057791004671013196,1.2058544435804349e-41
39,memory,400,0.001,0.11989829786756413,0.0
39,control,400,0.001,0.07382658497900846,5.6557059350508665e-109
40,memory,500,0.0009000000000000001,0.09831187038182214,1.7181612025539125e-275
40,control,500,0.0009000000000000001,0.0212947442866378,6.441795225734185e-11
41,memory,500,0.0003,0.1086835584231615,0.0
41,control,500,0.0003,0.12194631082408566,8.48719538263e-312
42,memory,-500,0.0003,0.0479901120550366,2.464885717173904e-92
42,control,-500,0.0003,-0.03287199008360338,1.874710742277533e-21
43,memory,-900,0.001,0.06666200903372665,1.030885062215486e-163
43,control,-900,0.001,0.01966914870801268,4.468371832928119e-09
44,memory,-1000,0.0001,0.025251769884485388,2.9753125897386873e-26
44,control,-1000,0.0001,-0.044347866169762856,7.36763759342167e-43
45,memory,400,0.0001,0.06568913687593908,3.62400235853583e-115
45,control,400,0.0001,0.05714320873196382,1.5779208834332028e-55
47,memory,-1000,0.0003,0.07324175070124973,5.354525728259186e-87
47,control,-1000,0.0003,0.05454606469481209,6.600199391602873e-40
48,memory,500,0.0003,0.05460248617146115,6.136822330904128e-56
48,control,500,0.0003,0.01441291528571477,4.590801876584126e-05
49,memory,500,0.0003,0.11531896704102253,0.0
49,control,500,0.0003,-0.011304571196326631,0.0020959972034523436
50,memory,-600,0.0003,-0.0009361496395525605,0.6801204128259659
50,control,-600,0.0003,-0.025281269645359695,3.6930172104194286e-15
51,memory,400,0.0003,0.08520423579782821,8.572538834529663e-129
51,control,400,0.0003,-0.0234924911407773,2.9021213483523175e-06
52,memory,1000,0.0003,0.08827043807645016,2.5706389318214895e-128
52,control,1000,0.0003,0.027546362718404625,8.628810842688615e-10
54,memory,500,0.000729,0.02563224060607807,1.6361806952662848e-25
54,control,500,0.000729,-0.014541147887948351,1.1178739970612698e-05
55,memory,-1000,0.0001,0.0059428588893949376,0.01731208728984474
55,control,-1000,0.0001,0.020949091166682164,1.7887496462862735e-09
56,memory,-1000,0.0003,0.03471185000956736,5.218123523318505e-41
56,control,-1000,0.0003,0.03707267584920375,3.479135619005855e-26
58,memory,500,0.0001,0.07433143529687285,2.0234162447534387e-224
58,control,500,0.0001,-0.0077286145093145246,0.016284086257075985
59,memory,1000,0.0001,0.04922760557044637,5.567227001043585e-94
59,control,1000,0.0001,-0.032921447187697135,1.235141663250746e-21
60,memory,400,0.0003,0.05304233159176757,1.366513548852771e-119
60,control,400,0.0003,-0.023376177083624765,4.3273127949717676e-13
62,memory,-800,0.0008100000000000001,0.029038992381977408,5.670245124531545e-22
62,control,-800,0.0008100000000000001,-0.010102688191187347,0.01343932246306378
63,memory,100,0.0003,0.03094186877001989,2.2353646996304228e-36
63,control,100,0.0003,0.018301580471545946,8.245278447991539e-07
64,memory,800,0.000729,0.031569264508135984,1.2162756195454966e-42
64,control,800,0.000729,0.005837511369101276,0.06779056405514583
65,memory,-1000,0.0003,0.07333105211162759,7.39031348584816e-224
65,control,-1000,0.0003,0.0011042792419961476,0.7352485305899064
67,memory,400,0.0003,0.02974306937521173,1.5434009972278942e-38
67,control,400,0.0003,0.09841755159140374,1.5119901386983337e-201
70,memory,-1000,0.0001,0.04641222150412222,3.606862618832855e-80
70,control,-1000,0.0001,-0.005720323554233482,0.08892583008944703
71,memory,1000,0.0003,0.0186669580246811,2.259168686870136e-13
71,control,1000,0.0003,-0.037806606697729034,1.6216713111951705e-25
72,memory,500,0.001,0.07963388953592727,4.5935630366732684e-219
72,control,500,0.001,0.07148726009993801,3.2943409855662554e-91
73,memory,400,0.0003,0.012991341924409844,9.217190426394033e-09
73,control,400,0.0003,-0.016831277238573018,1.4041619463842135e-07
74,memory,400,0.0001,0.07402847802132217,4.6869850049815895e-149
74,control,400,0.0001,-0.03244289343513467,6.777947760631733e-17
75,memory,100,0.0001,0.0050866562114296725,0.03271888115107172
75,control,100,0.0001,0.00115513757808709,0.7280731494571384
76,memory,-600,0.0003,0.13205918897853608,0.0
76,control,-600,0.0003,0.06959760613490563,5.9268725300167624e-61
77,memory,300,0.0003,0.11979686735608605,0.0
77,control,300,0.0003,0.01208212131014935,0.0001576098467872499
79,memory,-700,0.0001,0.024852841166811242,2.7321792487613066e-26
79,control,-700,0.0001,0.0671652062761524,8.869971406643041e-91
80,memory,400,0.0003,0.05165141604592956,2.9610795661293613e-80
80,control,400,0.0003,-0.0029727827268358218,0.44537543736932866
81,memory,0,0.001,0.05531664597177855,7.439241469884366e-129
81,control,0,0.001,-0.012871711794621307,5.6466575220307846e-05
