condition,channel,corr µ,corr σ,lag µ (ms),lag σ (ms)
control,AF3,0.12,0.143,-118,712.3
control,AF4,0.116,0.138,-96,711.7
control,AFz,0.116,0.149,-115,714.7
control,C1,0.127,0.13,-54,717.4
control,C2,0.129,0.136,-58,704.4
control,C3,0.138,0.142,-29,723.8
control,C4,0.137,0.145,-57,714.9
control,Cz,0.126,0.136,-31,711.1
control,F1,0.12,0.139,-95,724.0
control,F2,0.121,0.137,-94,716.0
control,F3,0.123,0.135,-80,722.2
control,F4,0.124,0.135,-67,717.5
control,FC1,0.121,0.129,-71,725.1
control,FC2,0.127,0.131,-59,716.4
control,FC3,0.132,0.134,-36,722.9
control,FC4,0.134,0.139,-37,712.1
control,Fz,0.123,0.144,-103,724.0
memory,AF3,0.14,0.14,-45,689.4
memory,AF4,0.135,0.134,-60,690.0
memory,AFz,0.147,0.146,-37,696.7
memory,C1,0.132,0.131,-58,709.2
memory,C2,0.135,0.131,-59,697.0
memory,C3,0.135,0.137,-47,715.6
memory,C4,0.136,0.137,-73,705.4
memory,Cz,0.129,0.133,-63,704.1
memory,F1,0.147,0.138,-28,700.9
memory,F2,0.144,0.134,-26,690.7
memory,F3,0.142,0.131,-29,697.5
memory,F4,0.137,0.129,-34,693.4
memory,FC1,0.137,0.127,-40,706.4
memory,FC2,0.139,0.126,-68,701.2
memory,FC3,0.137,0.129,-28,711.5
memory,FC4,0.136,0.129,-44,703.8
memory,Fz,0.148,0.14,-33,692.9
