subject,condition,lag_ms,r,p-value
33,memory,-50,-0.012245031273773358,7.460640108159636e-08
33,control,-50,-0.02133766309850816,2.436944082635025e-11
34,memory,320,0.06949473208487059,1.1464539294785307e-184
34,control,320,-0.17873355647012257,0.0
35,memory,-80,-0.07815040122286238,1.1731693952380245e-29
35,control,-80,0.009248354451832924,0.12719919493457077
36,memory,-590,0.025612438345924228,4.880273474166717e-13
36,control,-590,-0.020233215997323282,1.5753820398821133e-05
38,memory,-10,-0.059368393713984814,1.175190862935382e-86
38,control,-10,-0.09686085426716756,5.941133859564471e-116
39,memory,20,0.01649916232849933,2.8895446584605937e-09
39,control,20,-0.04581991774264696,2.329865272588425e-43
40,memory,1000,-0.04396355552951884,1.076074099279591e-56
40,control,1000,-0.15869095631776728,0.0
41,memory,-100,0.012945158628892672,1.0093559193466247e-08
41,control,-100,0.054954511610762605,1.1898163785411788e-64
42,memory,-800,0.03860000030721899,6.165444553226437e-62
42,control,-800,-0.03393158554479051,6.084658985783959e-23
43,memory,700,-0.04047251580382537,8.60069278508426e-62
43,control,700,-0.12705485586154375,2.449e-319
44,memory,-100,-0.026918177875749204,9.843372189252186e-30
44,control,-100,-0.112789876300893,4.74087035246576e-269
45,memory,420,0.06051904837456213,1.7058569262978262e-98
45,control,420,0.048309527223466014,1.3539310097293972e-40
46,memory,-680,-0.037063816247843766,8.352714544984107e-05
46,control,-680,0.02548458320158727,0.0058550668999462485
47,memory,1000,-0.08320526936496712,6.725156585153345e-112
47,control,1000,-0.027704400820566168,1.664218776882852e-11
48,memory,-630,0.015319161918482399,9.711160778054841e-06
48,control,-630,0.014987480860304329,2.1302559278162665e-05
49,memory,460,0.10551125628499197,1.936086592009675e-281
49,control,460,-0.020626348532485246,1.9289171207828067e-08
50,memory,910,-0.10422276431603494,0.0
50,control,910,-0.13840904386422292,0.0
51,memory,1000,0.05270813729740265,3.591261917245122e-51
51,control,1000,-0.04400611663177631,6.701251170832326e-19
52,memory,810,0.05218357579255652,2.498511138849524e-47
52,control,810,-0.016112633307899162,0.00031596203324516317
54,memory,630,-0.0038834087915373375,0.11110573432196928
54,control,630,-0.02405706093556792,3.388902405798054e-13
55,memory,-380,-0.014506947296565091,5.476085380428379e-09
55,control,-380,-0.03465616155165441,2.186642459616909e-23
56,memory,230,0.0004184449843470709,0.8710213882941548
56,control,230,0.03227540036687407,1.8686881118667106e-20
57,memory,360,0.06027791004070462,1.2888679581053332e-155
57,control,360,-0.007107891336048445,0.026124936229433477
58,memory,460,0.06309627394385899,1.1216447656350746e-162
58,control,460,-0.011164548659936643,0.000508397759297707
59,memory,-70,0.0015761074579453767,0.5083223779062261
59,control,-70,-0.06519563138865932,5.097060117276249e-80
60,memory,1000,0.03418515090088238,9.275059325300257e-51
60,control,1000,-0.060625558482564706,6.048992109710214e-79
62,memory,-90,-0.01877376734203233,4.440676921617177e-10
62,control,-90,0.03885690238479621,4.739502277353162e-22
63,memory,0,1.6371712423947143e-05,0.9946616699974081
63,control,0,0.0037596168258613896,0.3078762907763781
64,memory,530,0.012405832607432013,7.479471559274791e-08
64,control,530,-0.015180425416717923,2.02333085361264e-06
65,memory,-60,0.04452385914623992,1.045713621801867e-83
65,control,-60,-0.04665224738293895,2.066433603488799e-46
67,memory,20,-0.12299903946702967,0.0
67,control,20,-0.019023583521666887,5.127403529597298e-09
68,memory,960,-0.017814061604726723,0.5734674747193166
68,control,960,0.07180930168982189,3.7393680603464672e-25
69,memory,280,0.025044637073771806,0.000356184908518827
69,control,280,-0.10627748192240334,1.2207730743470894e-84
70,memory,160,-0.06051125307344902,8.681898298693176e-136
70,control,160,-0.11699846486533655,2.2014798280176996e-268
71,memory,740,-0.020418716698276093,8.738685905381362e-16
71,control,740,-0.06630301601497678,3.8356223754365793e-75
72,memory,0,-0.05256718194143791,2.0538282083866725e-97
72,control,0,-0.047513854745578746,1.311051872933208e-41
73,memory,380,-0.003976646027356966,0.07839224563047532
73,control,380,-0.027896917703438565,2.496477943359228e-18
74,memory,-1000,0.00706734581559299,0.012633455080615738
74,control,-1000,0.005651093267529616,0.14510669038830518
75,memory,320,-0.006976811459446439,0.0032072149131184666
75,control,320,-0.038437228826825466,2.5793841807042848e-31
76,memory,1000,0.04872631312461197,8.58753222231081e-85
76,control,1000,-0.0042875833927644436,0.3101365656884604
77,memory,760,-0.028520577032098586,2.4013352589085887e-36
77,control,760,-0.04755751616794203,3.901574214734581e-50
79,memory,800,-0.08927910189861166,1.23467e-319
79,control,800,-0.026984083153493665,4.409223607348542e-16
80,memory,-10,0.03764644996295843,1.3149502098639178e-43
80,control,-10,-0.03678752966185011,2.6892587194360074e-21
81,memory,640,0.004643621534393447,0.042730915773710444
81,control,640,-0.04098992187967057,1.075256854184606e-37
82,memory,-440,0.0037023093742771327,0.13933489811460764
82,control,-440,-0.014365158295269572,0.00019791019330612768
83,memory,-520,0.0016716987026080144,0.5548495195987432
83,control,-520,-0.017397660387704593,1.2402897255043729e-05
85,memory,370,-0.003751112928514529,0.493769261042371
85,control,370,-0.00750274777463532,0.3379871660651011
86,memory,1000,-0.07179126973832484,4.071411020545575e-212
86,control,1000,-0.14033448851418304,0.0
87,memory,240,-0.00039799190521339674,0.870237055789907
87,control,240,-0.00528697976855793,0.18007907776091794
88,memory,1000,-0.01801855306117288,2.043086967251444e-15
88,control,1000,0.01209136570483623,0.00017744684455235087
89,memory,-1000,0.022931006799781103,1.8317334897139747e-23
89,control,-1000,0.0027504643051883167,0.40492949746187223
91,memory,-50,0.008924730687439115,0.00037841487887696723
91,control,-50,0.045172037733653615,4.819084259227269e-40
92,memory,410,-0.03871636657435157,3.6280391713227004e-58
92,control,410,-0.12629881572560137,0.0
93,memory,1000,-0.05096388711811108,9.021725126812477e-112
93,control,1000,-0.0419393374496348,2.163966544559652e-39
95,memory,-70,-0.005503815864472488,0.18732916000883856
95,control,-70,-0.014199461406356789,0.0012088490582075383
97,memory,-560,0.05593429335839945,7.819276784569407e-10
97,control,-560,-0.01882021899774123,0.020601621337602093
98,memory,690,-0.06184617021410216,5.7401316290694976e-67
98,control,690,-0.06931014833972203,1.162105261148512e-50
